Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"excelencia no atendimento","1","1","880","69.70","1.30","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","1.33","0.45","0.21","367000","0.88,0.88,0.88,0.88,0.88,0.48,0.72,0.72,0.88,0.72,1.00,0.88","1511613417"
"sla","7","4","9900","67.51","6.71","https://blog.neoassist.com/o-que-e-sla/","1.28","2.24","0.01","55500000","0.82,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00","1513603618"
"excelência no atendimento ao cliente","1","1","720","71.14","3.29","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","1.09","0.93","0.40","597000","1.00,0.09,0.02,0.09,0.29,0.10,0.82,0.03,0.02,0.02,0.02,0.02","1511632312"
"cal center","1","1","720","72.76","1.82","https://blog.neoassist.com/o-que-e-call-center/","1.09","0.51","0.29","5420000","0.67,0.67,0.82,0.82,0.82,0.67,0.82,0.82,1.00,0.82,0.82,0.82","1511609585"
"marketing de relacionamento","5","5","6600","61.90","2.50","https://blog.neoassist.com/estrategias-de-marketing-de-relacionamento/","1.06","0.69","0.11","439000","0.54,0.67,1.00,0.81,1.00,0.44,0.44,0.54,0.81,0.81,1.00,1.00","1513602919"
"help desk","10","4","9900","51.62","48.62","https://blog.neoassist.com/o-que-e-helpdesk/","0.96","12.18","0.87","461000000","0.67,0.82,0.67,0.82,0.67,0.55,0.67,0.67,1.00,0.82,0.82,0.82","1513601656"
"excelência no atendimento","1","0","590","73.69","1.40","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.89","0.32","0.18","603000","0.67,0.82,0.82,0.82,0.82,0.54,0.67,0.67,0.82,0.82,1.00,0.82","1510506185"
"sac 2.0","1","1","480","51.20","1.36","https://blog.neoassist.com/tudo-o-que-voce-precisa-saber-sobre-sac-2-0/","0.72","0.25","0.04","39200000","0.19,0.29,0.67,0.29,0.54,0.44,0.24,1.00,0.15,0.15,0.82,0.15","1511660195"
"gestão de relacionamento com o cliente","1","1","480","75.13","7.95","https://blog.neoassist.com/gestao-de-relacionamento-com-o-cliente/","0.72","1.51","0.42","476000","0.29,0.54,0.82,0.67,0.67,0.29,0.36,0.44,1.00,0.82,0.82,0.67","1513150050"
"o que é call center","2","2","1600","65.69","3.51","https://blog.neoassist.com/o-que-e-call-center/","0.67","0.61","0.09","281000000","0.81,1.00,0.81,1.00,1.00,0.81,1.00,1.00,1.00,0.81,1.00,0.81","1513522156"
"qualidade no atendimento","2","2","1600","60.85","0.87","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.67","0.15","0.08","29900000","0.42,0.67,0.79,0.79,0.79,0.42,0.54,0.54,0.79,1.00,1.00,0.79","1511589886"
"o que é atendimento","1","1","390","73.91","22.51","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.59","3.48","0.06","434000000","0.24,0.16,0.67,0.16,0.30,1.00,0.19,0.44,0.30,0.30,0.55,1.00","1513120858"
"o que é atendimento ao cliente","1","1","390","70.32","1.14","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.59","0.17","0.26","19400000","0.67,0.81,1.00,1.00,0.81,0.44,0.44,0.44,1.00,0.81,1.00,0.81","1513170675"
"pesquisa de satisfação","6","0","3600","64.42","2.67","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.58","0.40","0.53","2740000","0.66,0.66,0.82,0.82,0.82,0.55,0.66,0.66,1.00,1.00,1.00,1.00","1513550431"
"pesquisa de satisfação","5","5","3600","64.42","2.67","https://blog.neoassist.com/pesquisa-de-satisfacao/","0.58","0.40","0.53","2740000","0.66,0.66,0.82,0.82,0.82,0.55,0.66,0.66,1.00,1.00,1.00,1.00","1513550431"
"relacionamento com cliente","1","1","320","71.83","4.88","https://blog.neoassist.com/o-que-e-relacionamento-com-o-cliente/","0.48","0.61","0.28","1520000","0.44,0.54,0.81,0.81,0.81,0.54,0.35,0.54,0.67,0.81,1.00,0.81","1513148556"
"service desk","6","5","2900","50.10","25.45","https://blog.neoassist.com/o-que-e-service-desk/","0.46","3.11","0.86","6730000","0.81,1.00,1.00,0.81,0.81,0.67,0.81,0.81,1.00,1.00,1.00,1.00","1513599446"
"helpdesk","7","7","3600","53.98","103.89","https://blog.neoassist.com/o-que-e-helpdesk/","0.46","12.62","0.84","51200000","1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,1.00,1.00,1.00,1.00","1513520045"
"nps","9","8","4400","49.01","2.50","https://blog.neoassist.com/net-promoter-score-nps/","0.42","0.27","0.35","10200000","0.24,0.67,0.13,0.67,0.82,1.00,0.29,0.13,0.19,0.19,0.16,0.24","1513593120"
"qualidade no atendimento ao cliente","2","2","1000","56.79","2.11","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.42","0.23","0.07","11600000","0.55,0.62,0.81,0.81,0.81,0.45,0.45,0.55,1.00,0.81,0.81,0.81","1511612597"
"o que é satisfação","1","1","260","68.40","0.00","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.39","0.00","0.00","5870000","0.53,0.66,1.00,0.81,0.81,0.53,0.66,0.53,1.00,1.00,1.00,1.00","1513170436"
"o que e atendimento","1","1","260","69.41","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.39","0.00","0.05","1370000000","0.01,1.00,0.10,0.03,0.44,0.16,0.67,0.06,0.10,0.44,0.01,0.06","1513551980"
"contact center","6","7","2400","36.80","3.45","https://blog.neoassist.com/contact-center-o-que-e/","0.38","0.34","0.45","213000000","0.67,0.67,0.67,0.67,0.53,0.53,0.81,0.67,0.81,0.81,1.00,0.81","1513529868"
"excelencia no atendimento","2","2","880","69.70","1.30","https://blog.neoassist.com/5-dicas-de-como-obter-excelencia-no-atendimento/","0.36","0.12","0.21","367000","0.88,0.88,0.88,0.88,0.88,0.48,0.72,0.72,0.88,0.72,1.00,0.88","1511613417"
"qualidade de atendimento","1","0","210","57.98","3.29","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.31","0.27","0.09","28700000","0.65,0.65,1.00,0.81,0.81,0.42,0.42,0.81,1.00,1.00,1.00,0.81","1508893027"
"atendimento de qualidade","1","1","210","51.27","4.30","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.31","0.35","0.16","5510000","0.66,0.81,0.81,0.66,0.66,0.53,0.44,0.44,0.66,0.66,1.00,1.00","1512392334"
"excelência no atendimento ao cliente","2","2","720","71.14","3.29","https://blog.neoassist.com/5-dicas-de-como-obter-excelencia-no-atendimento/","0.30","0.25","0.40","597000","1.00,0.09,0.02,0.09,0.29,0.10,0.82,0.03,0.02,0.02,0.02,0.02","1511632312"
"sac o que é","2","0","720","68.02","0.00","https://blog.neoassist.com/o-que-e-sac/","0.30","0.00","0.01","15500000","0.19,0.30,0.67,0.30,0.16,0.44,0.24,1.00,0.16,0.16,0.82,0.44","1510503332"
"o que é sac","2","2","720","72.77","0.09","https://blog.neoassist.com/o-que-e-sac/","0.30","0.00","0.01","5560000","0.03,0.04,0.09,0.04,0.02,0.06,1.00,0.44,0.02,0.02,0.11,0.15","1512501368"
"gestão do relacionamento com o cliente","1","0","170","76.42","9.02","https://blog.neoassist.com/gestao-de-relacionamento-com-o-cliente/","0.25","0.60","0.34","404000","0.12,0.15,0.29,0.29,0.29,0.15,0.15,0.29,1.00,0.36,0.54,0.24","1508911487"
"excelencia em atendimento","1","1","170","69.06","0.78","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.25","0.05","0.09","380000","0.65,0.65,0.65,0.65,0.65,0.35,0.42,0.42,0.81,0.65,1.00,0.81","1511925155"
"excelência no atendimento","2","2","590","73.69","1.40","https://blog.neoassist.com/5-dicas-de-como-obter-excelencia-no-atendimento/","0.24","0.08","0.18","603000","0.67,0.82,0.82,0.82,0.82,0.54,0.67,0.67,0.82,0.82,1.00,0.82","1510506185"
"qualidade de atendimento ao cliente","1","1","140","51.59","3.03","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.21","0.16","0.13","12200000","0.52,0.67,0.81,1.00,1.00,0.52,0.67,0.43,0.52,0.33,0.43,0.52","1512439771"
"atendimento cliente","1","1","140","73.10","0.13","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.21","0.00","0.23","24800000","0.67,0.67,0.81,0.67,1.00,0.43,0.67,0.67,0.67,0.67,0.81,0.67","1512392812"
"satisfação dos clientes","1","1","140","61.68","0.45","https://blog.neoassist.com/satisfacao-do-cliente/","0.21","0.02","0.11","1450000","0.19,0.07,0.02,0.07,0.66,0.24,0.24,1.00,0.66,0.66,0.44,0.44","1513368822"
"serviço de atendimento ao cliente","3","4","720","64.90","0.87","https://blog.neoassist.com/o-que-e-sac/","0.20","0.04","0.13","16100000","0.67,0.67,0.67,0.67,0.82,0.67,0.82,0.67,0.82,0.82,1.00,1.00","1511671186"
"proatividade","36","39","90500","76.52","3.09","https://blog.neoassist.com/proatividade-no-atendimento-ao-cliente/","0.20","0.16","0.00","1040000","0.24,0.16,0.67,0.16,0.30,1.00,0.20,0.45,0.30,0.30,0.55,1.00","1513506969"
"o que significa sac","2","2","480","79.52","0.00","https://blog.neoassist.com/o-que-e-sac/","0.20","0.00","0.01","681000","0.11,0.68,0.30,0.68,0.30,0.11,0.08,0.20,0.30,0.30,0.55,1.00","1511581500"
"bom atendimento","7","10","1300","64.51","1.66","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.16","0.07","0.03","6890000","0.62,0.81,0.81,0.81,0.81,0.55,0.81,0.81,1.00,1.00,1.00,1.00","1511598139"
"qualidade atendimento","1","1","110","57.68","0.00","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.16","0.00","0.04","51900000","0.82,0.65,0.82,1.00,0.82,0.41,0.29,0.53,1.00,0.65,0.53,0.65","1512440283"
"estratégias relacionamento cliente","1","1","110","57.17","1.53","https://blog.neoassist.com/5-estrategias-para-melhorar-o-relacionamento-com-cliente/","0.16","0.06","0.14","602000","0.44,0.07,0.01,0.29,0.15,0.19,0.36,0.82,0.07,0.54,1.00,0.54","1513552081"
"excelencia no atendimento ao cliente","1","1","110","72.36","2.05","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.16","0.08","0.30","380000","0.65,0.53,0.82,0.82,0.65,0.29,0.41,0.53,0.82,0.65,1.00,0.82","1512458295"
"atendimento de excelência","1","1","110","65.20","1.95","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.16","0.08","0.09","1200000","0.53,0.65,0.65,0.53,0.65,0.41,0.53,0.53,0.82,0.82,0.65,1.00","1512452397"
"atendimento a cliente","1","1","110","72.45","0.00","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.16","0.00","0.12","21700000","0.79,0.64,1.00,0.79,0.64,0.64,0.79,0.79,0.79,0.79,1.00,0.79","1512457903"
"o cliente sempre tem razão","1","2","110","74.33","1.14","https://blog.neoassist.com/4-motivos-pelos-quais-o-cliente-sempre-tem-razao/","0.16","0.04","0.03","867000","0.82,0.19,0.03,0.10,0.29,0.15,0.44,0.24,1.00,0.15,0.15,0.82","1513549207"
"questionário de satisfação","2","3","390","60.21","1.72","https://blog.neoassist.com/questionario-de-satisfacao-em-8-passos/","0.16","0.07","0.13","595000","1.00,1.00,0.44,1.00,0.30,0.16,0.12,0.30,0.44,0.44,0.55,0.44","1513314213"
"fidelização de clientes","8","8","1600","63.69","2.44","https://blog.neoassist.com/fidelizacao-do-cliente/","0.15","0.09","0.28","499000","0.54,0.67,0.79,0.79,0.79,0.42,0.37,0.42,0.79,0.79,1.00,0.67","1513547618"
"relacionamento significado","14","16","6600","80.47","0.58","https://blog.neoassist.com/o-que-e-relacionamento-com-o-cliente/","0.14","0.02","0.01","2430000","0.82,0.11,0.20,0.44,0.55,0.67,1.00,0.20,0.29,0.29,0.24,0.82","1513600866"
"satisfacao","5","6","880","70.38","9.25","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.14","0.34","0.00","595000","0.88,0.88,0.88,0.88,0.88,1.00,0.88,0.88,0.88,0.88,0.88,1.00","1511129550"
"call centere","1","0","90","65.18","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.07","140000000","0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78,0.11","1510545248"
"atendimento por excelencia","1","1","90","66.42","0.61","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.13","0.02","0.12","8310000","0.44,0.11,0.56,0.11,1.00,0.33,0.33,0.78,0.11,0.11,0.11,0.11","1513462470"
"oq é atendimento ao cliente","1","1","90","74.89","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.13","0.00","0.20","926000","0.71,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.71,0.14","1513585107"
"call center a","1","0","90","63.16","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","152000000","0.71,1.00,0.29,0.14,0.14,0.14,0.57,0.14,0.43,0.14,0.71,0.14","1510554207"
"calll center","1","0","90","65.18","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.11","164000000","0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44,0.11","1510552861"
"atendimento e qualidade","1","1","90","57.61","0.00","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.13","0.00","0.04","27400000","0.33,0.56,0.22,0.56,1.00,0.33,0.44,1.00,0.56,0.56,0.78,0.56","1511154605"
"historia do call center no brasil","1","3","90","60.45","0.55","https://blog.neoassist.com/historia-do-call-center/","0.13","0.01","0.48","1060000","0.11,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.11,0.56","1513437630"
"qualidade ao atendimento ao cliente","1","1","90","55.12","2.24","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.13","0.07","0.25","11400000","0.11,0.56,0.22,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11,0.56","1513427834"
"o que é satisfação do cliente","1","1","90","54.28","1.33","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.13","0.04","0.06","1240000","0.10,0.03,0.07,0.03,0.15,0.29,0.54,0.06,0.03,0.03,1.00,0.06","1513470042"
"call center as","1","0","90","70.04","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","250000000","0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.40,0.20","1510568657"
"call cenetr","1","0","90","68.53","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","139000000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.14,0.14","1510552932"
"gestão de relacionamento","1","1","90","72.35","3.32","https://blog.neoassist.com/gestao-de-relacionamento-com-o-cliente/","0.13","0.11","0.39","12500000","0.33,0.43,0.43,0.43,0.43,0.19,0.33,0.24,0.52,0.43,0.33,1.00","1512586442"
"call crnter","1","0","90","64.97","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","64900000","0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.11,0.33,0.56","1510563302"
"atendimento com qualidade","1","1","90","52.34","4.62","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.13","0.16","0.13","28700000","0.50,0.79,0.79,1.00,0.64,0.29,0.36,0.50,1.00,1.00,0.79,0.79","1512405252"
"call centee","1","0","90","64.97","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","52200000","0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.33,0.56","1510559586"
"modelo de sla","1","1","90","53.11","3.78","https://blog.neoassist.com/modelo-de-sla/","0.13","0.13","0.16","511000","0.64,0.79,1.00,0.79,1.00,0.50,0.50,0.36,0.79,0.64,1.00,0.64","1512457202"
"modelo sla","1","2","90","57.85","5.70","https://blog.neoassist.com/modelo-de-sla/","0.13","0.20","0.08","510000","0.29,0.64,0.64,0.64,0.64,0.29,0.29,0.36,0.79,0.79,1.00,0.64","1512441130"
"a qualidade no atendimento ao cliente em uma empresa","1","1","90","57.64","0.55","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.13","0.01","0.33","34800000","0.44,0.11,0.56,0.11,1.00,0.33,0.33,0.78,0.11,0.11,0.11,0.11","1513439990"
"o que é qualidade no atendimento","1","2","90","58.29","4.13","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.13","0.14","0.03","28500000","0.50,0.64,1.00,0.79,0.79,0.36,0.50,0.36,0.64,0.64,1.00,0.79","1512441253"
"excelência em atendimento","1","1","90","73.27","0.81","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.13","0.02","0.17","8810000","1.00,0.64,0.79,0.79,0.79,0.64,0.64,0.50,0.50,0.64,0.64,0.79","1513425244"
"coll senter","1","1","90","70.41","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","154000000","0.11,1.00,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11","1511193978"
"call center que","1","0","90","61.07","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","152000000","0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25","1510567617"
"como fazer um atendimento com qualidade","1","1","90","57.93","0.91","https://blog.neoassist.com/o-passo-a-passo-para-um-atendimento-de-qualidade/","0.13","0.03","0.24","31200000","0.11,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.11,0.56","1513442955"
"call centrr","1","0","90","68.12","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","160000000","0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.33,0.56","1510532471"
"relacionamento cliente","1","2","90","70.43","0.00","https://blog.neoassist.com/o-que-e-relacionamento-com-o-cliente/","0.13","0.00","0.06","7830000","1.00,0.06,0.36,0.82,0.82,0.10,0.12,0.30,0.06,0.44,0.44,0.12","1513583373"
"call ceneter","1","0","90","70.27","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.00","0.00","141000000","0.11,0.78,0.11,0.78,1.00,0.11,0.11,0.11,0.33,0.33,0.11,0.11","1510532469"
"administração do relacionamento com o cliente","1","1","90","71.13","4.75","https://blog.neoassist.com/gestao-de-relacionamento-com-o-cliente/","0.13","0.16","0.20","414000","0.08,0.12,0.12,0.12,0.15,0.12,0.19,0.27,0.81,0.81,1.00,0.19","1512496213"
"atendimento com excelência","1","1","90","65.56","0.87","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.13","0.03","0.09","1590000","0.19,0.01,0.06,0.19,0.16,0.30,0.16,0.67,1.00,1.00,0.82,0.44","1513452634"
"atendimento a clientes","2","2","320","72.03","0.87","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.13","0.03","0.12","24900000","0.67,0.81,0.81,0.67,0.67,0.44,0.81,0.67,1.00,0.67,0.81,0.67","1513181370"
"como ser mal","11","22","880","76.52","0.00","https://blog.neoassist.com/como-ser-mal-atendido-oportunidade-empresas-perdendo/","0.13","0.00","0.01","173000000","0.24,0.15,0.67,0.15,0.29,1.00,0.19,0.44,0.29,0.29,0.54,1.00","1511121481"
"oq é call center","2","2","320","72.18","4.10","https://blog.neoassist.com/o-que-e-call-center/","0.13","0.14","0.19","162000","0.12,0.19,0.44,0.19,0.36,0.30,0.16,0.67,1.00,1.00,0.55,1.00","1513235742"
"kpi","16","16","8100","65.65","1.27","https://blog.neoassist.com/service-level-agreement-kpi/","0.12","0.04","0.03","32900000","0.67,0.82,0.82,0.82,0.82,0.55,0.67,0.67,1.00,0.82,0.82,0.82","1513589110"
"pesquisa de satisfação do cliente","8","8","1300","57.66","2.28","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.12","0.07","0.80","430000","1.00,1.00,1.00,1.00,1.00,0.38,0.38,0.38,0.46,0.53,0.84,0.68","1511608914"
"modelo de pesquisa de satisfação","5","7","720","52.77","1.17","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.11","0.03","0.47","985000","0.82,0.82,0.82,1.00,0.82,0.44,0.55,0.55,0.82,0.82,1.00,1.00","1511632030"
"treinamento de atendimento ao cliente","3","3","390","55.64","1.95","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.11","0.05","0.38","632000","0.67,0.81,1.00,1.00,0.81,0.44,0.67,0.67,0.81,0.81,0.81,0.81","1511790176"
"o cliente tem sempre razão","2","2","260","76.59","1.20","https://blog.neoassist.com/4-motivos-pelos-quais-o-cliente-sempre-tem-razao/","0.10","0.03","0.02","1080000","0.82,0.19,0.29,0.67,0.29,0.15,0.44,0.24,1.00,0.15,0.15,0.82","1513343929"
"call center o que é","2","2","260","67.79","2.47","https://blog.neoassist.com/o-que-e-call-center/","0.10","0.06","0.05","672000000","0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.66,0.81,1.00,0.81","1513524357"
"o que e call center","2","2","260","68.22","1.59","https://blog.neoassist.com/o-que-e-call-center/","0.10","0.04","0.31","156000000","0.81,0.81,0.81,0.81,1.00,0.66,1.00,0.81,1.00,0.81,0.81,0.81","1513174793"
"relacionamento com clientes","2","3","260","68.02","4.95","https://blog.neoassist.com/o-que-e-relacionamento-com-o-cliente/","0.10","0.14","0.39","8770000","0.44,0.54,1.00,1.00,1.00,0.54,0.44,0.44,0.67,0.67,0.82,0.82","1511898580"
"excelência em atendimento ao cliente","1","2","70","74.30","0.87","https://blog.neoassist.com/o-que-e-excelencia-no-atendimento-ao-cliente-afinal/","0.10","0.02","0.43","424000","0.03,0.08,0.23,0.08,1.00,1.00,1.00,0.13,0.08,0.08,0.10,0.08","1511285659"
"what call center do","1","1","70","73.61","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.10","0.00","0.00","145000000","0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25","1511287686"
"satisfacao do cliente","1","0","70","59.92","2.37","https://blog.neoassist.com/satisfacao-do-cliente/","0.10","0.06","0.28","142000","0.36,0.64,0.82,1.00,1.00,0.36,0.27,0.36,1.00,0.82,0.82,0.64","1512425190"
"sistema de gestão de relacionamento com o cliente","1","1","70","71.06","0.00","https://blog.neoassist.com/gestao-de-relacionamento-com-o-cliente/","0.10","0.00","0.67","1600000","0.44,1.00,0.33,1.00,1.00,0.22,0.56,0.22,0.44,0.44,0.44,0.22","1511287061"
"qualidade em atendimento","1","1","70","55.81","0.00","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.10","0.00","0.06","27600000","1.00,1.00,1.00,1.00,1.00,0.71,0.57,0.57,1.00,1.00,1.00,0.71","1512587986"
"atendimento via chat","1","2","70","66.42","2.05","https://blog.neoassist.com/5-dicas-para-melhorar-o-atendimento-via-chat/","0.10","0.05","0.57","23400000","0.64,0.64,0.82,0.64,0.64,0.45,0.45,0.64,1.00,0.82,0.82,0.64","1512437465"
"satisfação para o cliente","1","1","70","60.89","2.80","https://blog.neoassist.com/satisfacao-do-cliente/","0.10","0.07","0.19","1280000","0.44,1.00,0.33,1.00,1.00,0.22,0.56,0.22,0.44,0.44,0.44,0.22","1511203068"
"satisfaçao do cliente","1","1","70","54.23","1.04","https://blog.neoassist.com/satisfacao-do-cliente/","0.10","0.02","0.15","34000","1.00,0.64,0.64,0.64,0.82,0.82,1.00,0.18,0.18,0.45,0.36,0.45","1511187592"
"estratégias de marketing de relacionamento","1","1","70","56.16","0.00","https://blog.neoassist.com/estrategias-de-marketing-de-relacionamento/","0.10","0.00","0.07","423000","0.45,0.64,0.82,0.82,0.64,0.45,0.27,0.36,0.82,0.82,0.82,1.00","1512462534"
"caal center","1","1","70","71.19","3.09","https://blog.neoassist.com/o-que-e-call-center/","0.10","0.08","0.11","148000000","1.00,0.56,0.56,0.78,0.78,0.56,0.56,0.33,0.78,0.78,0.56,0.78","1511196599"
"qualidade atendimento ao cliente","1","1","70","54.70","0.74","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.10","0.01","0.28","33100000","0.19,0.10,0.02,0.10,0.02,0.19,1.00,0.23,0.10,0.10,0.54,0.54","1511254175"
