Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"empresas de software","37","32","390","56.48","7.26","https://www.zendesk.com.br/enterprise/","0.00","0.00","0.96","58700000","0.67,1.00,1.00,1.00,0.67,0.54,0.67,0.67,1.00,0.81,0.81,0.81","1511800893"
"apps de celular","77","0","30","94.37","1.98","https://www.zendesk.com.br/product/mobile/","0.00","0.00","0.36","4350000","0.40,0.60,0.40,0.60,0.60,0.40,0.80,1.00,0.80,0.60,0.80,0.80","1513150244"
"googl ply","92","0","90","90.79","0.00","https://www.zendesk.com.br/company/press/zendesk-powers-new-customer-engagement-opportunities-in-google-play/","0.00","0.00","0.06","1320000000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1509753098"
"empresas de atendimento ao cliente","16","16","20","59.37","1.69","https://www.zendesk.com.br/smb/","0.00","0.00","0.52","2550000","0.75,0.50,0.50,0.75,0.75,0.25,0.75,0.25,0.50,0.75,1.00,0.50","1511389342"
"chat portugues com web gratis","65","0","90","55.28","0.00","https://www.zendesk.com.br/chat/pricing/","0.00","0.00","0.00","1660000","0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20","1510535803"
"logmeinrescue","57","0","40","56.14","0.68","https://www.zendesk.com.br/company/press/logmein-rescue-for-zendesk-remote-support-software/","0.00","0.00","0.12","108000","0.57,0.29,0.29,0.57,0.43,1.00,0.29,0.43,0.57,0.57,0.71,1.00","1509309797"
"empresa ticket","52","54","140","63.71","1.10","https://www.zendesk.com.br/help-desk-software/features/trouble-ticket-software/","0.00","0.00","0.24","969000","1.00,0.82,0.82,0.82,0.82,0.65,0.82,0.65,0.82,1.00,1.00,0.82","1512394474"
"cadastrar-se no email","28","45","110","87.65","0.71","https://www.zendesk.com.br/register/","0.00","0.00","0.78","11200000","1.00,0.65,0.65,0.65,0.65,0.65,0.65,0.53,0.53,0.53,0.53,0.41","1512403308"
"menssagens facebook","71","63","90","96.60","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","17100000","0.33,0.11,0.44,0.11,0.78,0.33,0.22,0.78,0.11,0.11,1.00,0.11","1513592310"
"mensagem intelectual","29","38","140","73.21","0.00","https://www.zendesk.com.br/company/trademark-property/","0.00","0.00","0.03","694000","0.52,0.67,0.67,0.67,0.67,1.00,0.52,0.67,0.81,0.81,0.81,0.67","1513378541"
"riot games ticket","24","0","110","67.44","1.10","https://www.zendesk.com.br/customer/riot-games/","0.00","0.00","0.00","0","0.82,0.67,0.29,0.67,0.24,1.00,1.00,0.24,0.36,0.36,0.36,0.36","1513551467"
"grou po","30","25","90","89.48","0.03","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.36","54400000","0.33,0.11,0.44,0.11,0.78,0.33,0.22,0.78,0.11,0.11,1.00,0.11","1513476428"
"sistema software","30","25","70","50.37","4.00","https://www.zendesk.com.br/","0.00","0.00","0.18","125000000","0.78,0.78,1.00,1.00,1.00,0.56,0.78,0.56,1.00,1.00,1.00,1.00","1512430887"
"bem vindo ao facevook","60","63","90","87.12","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","27800000","1.00,0.11,0.44,0.11,0.78,0.78,0.78,0.33,0.11,0.11,0.33,0.56","1511187804"
"portal em wordpress","31","0","20","57.01","0.35","https://www.zendesk.com.br/guide/features/customer-portal-software/client-portal-wordpress/","0.00","0.00","0.22","35200000","0.67,0.33,0.33,0.33,1.00,1.00,0.67,0.67,1.00,0.67,0.67,0.67","1511766010"
"responda as perguntas","79","95","70","79.31","0.00","https://www.zendesk.com.br/guide/features/knowledge-base-software/faq-software/","0.00","0.00","0.00","808000","0.44,1.00,0.78,0.78,1.00,0.33,0.56,0.56,1.00,0.78,0.78,0.78","1512493704"
"roleta chat","43","0","30","59.18","0.00","https://www.zendesk.com.br/chat/features/","0.00","0.00","0.11","342000","0.80,0.40,0.60,0.20,0.80,0.40,0.60,0.60,1.00,0.40,0.80,0.80","1511737797"
"definir software","52","0","480","64.46","0.00","https://www.zendesk.com.br/","0.00","0.00","0.02","32500000","0.30,0.10,0.05,0.30,0.24,0.44,0.24,1.00,0.16,0.16,0.12,0.67","1513204805"
"mensagem de bem vindo ao facebook","20","23","50","72.16","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.01","11900000","1.00,0.56,0.56,0.33,0.33,0.33,0.78,0.44,0.33,0.56,0.56,0.56","1512595124"
"criar software online","82","0","40","66.48","2.15","https://www.zendesk.com.br/guide/features/customer-portal-software/","0.00","0.00","0.57","3710000","0.80,1.00,1.00,1.00,1.00,0.60,0.80,0.60,0.60,0.60,0.80,0.80","1509342927"
"bem vindo ao feicbook","64","74","90","89.51","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","23400000","0.18,1.00,0.24,0.53,0.53,0.29,0.12,0.29,0.18,0.18,0.18,0.29","1510557947"
"facebook vindo","55","54","50","79.54","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.01","20000000","0.06,0.12,0.06,0.06,0.53,1.00,0.82,0.06,0.24,0.06,0.12,0.41","1512533010"
"business texting service","58","0","90","23.71","0.00","https://www.zendesk.com.br/talk/features/business-texting/","0.00","0.00","0.00","54500000","0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.33,0.11,0.11,0.11,0.11","1510567919"
"www.helpdesk","43","54","40","27.32","17.10","https://www.zendesk.com.br/","0.00","0.00","0.58","96300000","0.80,1.00,0.80,0.80,0.80,0.80,1.00,0.60,0.80,0.60,0.80,0.80","1513024539"
"fotos de logotipos","58","0","140","73.65","0.00","https://www.zendesk.com.br/company/brand-assets/","0.00","0.00","0.10","1350000","0.65,1.00,0.82,1.00,0.82,0.53,0.53,0.41,1.00,1.00,0.82,1.00","1512394181"
"pesquisa ticket","79","80","40","55.83","0.42","https://www.zendesk.com.br/product/mobile/","0.00","0.00","0.24","534000","0.43,0.71,1.00,1.00,1.00,0.57,0.43,0.43,0.71,0.43,0.29,0.29","1511364022"
"prezi presentaion","52","0","70","63.43","0.00","https://www.zendesk.com.br/customer/prezi/","0.00","0.00","0.00","463000","0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25","1511385517"
"groupo","34","26","2900","89.68","0.13","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.13","54800000","1.00,0.81,0.81,0.81,0.81,0.67,1.00,0.81,0.81,0.81,0.81,0.81","1513084470"
"chat ajuda","58","0","70","77.56","1.07","https://www.zendesk.com.br/chat/live-chat-sales/","0.00","0.00","0.22","1460000","0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44,0.11","1511222967"
"www.entrar no email","87","69","90","63.05","0.81","https://www.zendesk.com.br/login/","0.00","0.00","0.16","10300000","0.33,0.33,0.19,0.33,0.43,0.52,1.00,0.81,0.52,0.24,0.33,0.81","1513425879"
"parceiros groupon","44","39","720","84.32","1.43","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.01","147000","1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.67,0.82,0.67,0.67,0.82","1511632846"
"rovio email","16","0","70","51.23","0.00","https://www.zendesk.com.br/customer/rovio/","0.00","0.00","0.00","636000","0.44,0.11,0.11,1.00,0.11,0.22,0.56,0.11,0.11,0.44,0.11,0.22","1511347079"
"live chat","76","0","880","57.62","1.59","https://www.zendesk.com.br/chat/features/shopify-live-chat/","0.00","0.00","0.34","50600000","0.88,0.88,0.88,0.88,1.00,0.72,0.88,0.72,0.88,0.88,0.88,0.88","1511615352"
"bem vindo ao faceboo","76","0","720","82.15","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","27300000","0.12,0.19,0.44,0.19,0.36,0.30,0.16,0.67,1.00,1.00,0.55,1.00","1510345618"
"telefone da telefônica","49","59","110","85.49","1.82","https://www.zendesk.com.br/talk/","0.00","0.00","0.52","2420000","0.53,0.65,0.53,0.82,0.82,0.82,1.00,0.65,0.82,0.65,0.41,0.53","1512406301"
"compare preco","80","0","260","70.89","0.87","https://www.zendesk.com.br/product/pricing/","0.00","0.00","0.59","1070000","0.82,0.82,0.67,0.67,1.00,0.67,0.82,0.67,0.67,0.67,0.67,0.67","1511883908"
"aplicativos para chat","52","53","20","80.21","1.27","https://www.zendesk.com.br/product/mobile/","0.00","0.00","0.65","1400000","0.67,0.67,0.67,0.33,0.33,0.33,1.00,0.33,0.67,0.67,0.33,0.67","1511705809"
"riot games adress","35","0","90","65.48","0.00","https://www.zendesk.com.br/customer/riot-games/","0.00","0.00","0.00","1040000","0.60,0.20,0.40,1.00,0.20,0.20,0.80,0.20,0.20,0.20,0.20,1.00","1513572610"
"the box story","30","0","90","54.33","0.00","https://www.zendesk.com.br/customer/box/","0.00","0.00","0.00","338000000","0.33,0.56,0.11,0.56,0.11,0.33,0.44,1.00,0.11,0.56,0.11,0.56","1513536444"
"api application","39","31","90","65.91","0.00","https://www.zendesk.com.br/company/customers-partners/application-developer-api-license-agreement/","0.00","0.00","0.04","457000000","1.00,0.11,0.44,0.11,0.78,0.78,0.78,0.33,0.11,0.11,0.33,0.56","1511153704"
"best online chat software","28","22","90","48.47","0.00","https://www.zendesk.com.br/chat/features/best-live-chat-software/","0.00","0.00","0.00","122000000","0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.56,0.11,0.11,0.11,0.11","1510569049"
"gôgle play","94","0","90","90.79","0.00","https://www.zendesk.com.br/company/press/zendesk-powers-new-customer-engagement-opportunities-in-google-play/","0.00","0.00","0.00","1320000000","0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50","1509753888"
"google entrar na conta","64","0","40","80.46","0.06","https://www.zendesk.com.br/register/","0.00","0.00","0.22","8360000","0.12,0.06,0.06,0.12,0.06,0.12,0.29,0.65,1.00,0.12,0.18,0.06","1509320627"
"mensagens do bem","84","64","390","79.89","0.03","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.03","21200000","0.54,0.54,0.66,0.81,0.66,0.54,0.54,0.66,0.81,0.66,1.00,1.00","1511800123"
"website contact form","19","21","90","37.99","0.00","https://www.zendesk.com.br/embeddables/features/contact-form-for-website/","0.00","0.00","0.07","21500000","0.11,0.11,0.56,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78,0.11","1513515310"
"facebook mensagens","74","80","1600","93.73","0.06","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.11","20800000","0.83,1.00,0.83,0.66,0.66,0.66,0.55,0.34,0.45,0.34,0.34,0.34","1511097155"
"saas best practices","21","60","90","39.13","0.00","https://www.zendesk.com.br/support/features/saas-customer-support-best-practices/","0.00","0.00","0.29","8870000","0.14,1.00,0.29,1.00,0.14,0.14,0.14,0.14,0.14,0.43,0.71,0.14","1513545850"
"só ferramentas","94","0","30","83.26","0.71","https://www.zendesk.com.br/support/features/","0.00","0.00","0.95","22800000","0.60,0.60,0.40,0.40,0.40,0.40,0.40,0.40,0.60,0.60,1.00,0.80","1513164363"
"pc help sistemas","45","40","320","73.42","0.00","https://www.zendesk.com.br/","0.00","0.00","0.00","1060000","0.07,0.12,0.24,1.00,0.01,0.15,0.10,0.03,0.06,0.44,0.07,0.03","1513255901"
"afront","77","0","110","79.46","0.00","https://www.zendesk.com.br/inbox/details/front-alternative/","0.00","0.00","0.13","92900000","0.36,0.24,1.00,0.24,0.29,0.36,0.29,0.66,1.00,1.00,0.19,0.44","1513434621"
"definição de atendimento ao cliente","62","75","50","65.58","0.00","https://www.zendesk.com.br/","0.00","0.00","0.05","611000","0.43,1.00,0.71,1.00,0.71,0.71,0.29,0.43,0.71,1.00,1.00,0.71","1509342921"
"cookie policy","15","24","30","65.05","0.00","https://www.zendesk.com.br/company/customers-partners/cookie-policy/","0.00","0.00","0.00","667000000","1.00,0.80,1.00,0.60,0.80,0.20,0.20,0.20,0.60,0.80,0.40,0.20","1511388091"
"fresdesk","70","67","90","60.99","20.98","https://www.zendesk.com.br/small-business/","0.00","0.00","0.54","1310000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22,0.56","1513425315"
"mass text","37","0","30","33.15","0.00","https://www.zendesk.com.br/talk/details/mass-text-messaging/","0.00","0.00","0.02","762000000","1.00,0.40,0.40,0.60,0.40,0.60,0.80,0.40,0.40,0.40,0.40,0.40","1511391299"
"trivqgo","11","0","70","67.89","0.13","https://www.zendesk.com.br/customer/trivago/","0.00","0.00","0.29","22100000","1.00,0.67,0.28,0.13,0.23,0.23,0.08,0.23,0.05,0.05,0.10,0.05","1511209009"
"como vc esta","72","69","590","77.64","0.00","https://www.zendesk.com.br/recursos/10-perguntas-para-a-contratacao-de-excelentes-representantes-de-atendimento-ao-cliente/","0.00","0.00","0.00","5070000","0.67,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.82,0.82,1.00,1.00","1511125985"
"googl plye","88","0","90","88.50","0.00","https://www.zendesk.com.br/company/press/zendesk-powers-new-customer-engagement-opportunities-in-google-play/","0.00","0.00","0.00","1300000000","1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.43,1.00,0.14","1509736868"
"office 365 outllok","59","54","90","62.02","0.48","https://www.zendesk.com.br/outlook/","0.00","0.00","0.20","7240000","0.22,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,0.22,0.56","1513449859"
"hemail","93","91","3600","82.75","0.35","https://www.zendesk.com.br/inbox/","0.00","0.00","0.22","1955032000","0.82,1.00,0.82,0.82,0.82,0.66,0.66,0.55,0.66,0.66,0.66,0.66","1513083934"
"logotipo de marcas","70","0","320","72.35","1.23","https://www.zendesk.com.br/company/brand-assets/","0.00","0.00","0.17","14300000","1.00,0.66,0.54,0.44,0.44,0.36,0.44,0.36,0.44,0.44,0.44,0.54","1511801086"
"tudo sobre email","92","0","260","81.65","2.28","https://www.zendesk.com.br/support/features/","0.00","0.00","0.09","23100000","0.29,0.44,0.04,0.12,0.04,0.54,0.54,0.54,0.24,0.04,0.15,1.00","1513340380"
"plugin chat wordpress","27","28","50","59.68","1.36","https://www.zendesk.com.br/chat/features/wordpress-live-chat/","0.00","0.00","0.17","1720000","0.71,1.00,0.57,0.71,0.71,0.29,0.71,0.71,0.71,0.71,0.71,0.71","1512582459"
"itil details","53","0","90","56.85","0.00","https://www.zendesk.com.br/support/details/itil-help-desk/","0.00","0.00","0.00","4170000","0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14","1509735795"
"predictive dialer","18","0","20","34.86","2.63","https://www.zendesk.com.br/talk/details/predictive-dialer/","0.00","0.00","0.58","330000","0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.67,1.00,0.67,0.33","1511719877"
"bem vindo ao facebool","63","69","260","88.25","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","26700000","0.82,0.67,0.30,0.67,0.67,1.00,1.00,0.24,0.02,0.02,0.08,0.10","1513300637"
"virtual chat bot","64","56","90","38.13","0.00","https://www.zendesk.com.br/answer-bot/","0.00","0.00","0.00","4360000","0.11,0.11,0.56,0.11,1.00,0.78,0.11,0.11,0.11,0.11,0.44,0.11","1513528708"
"compare pesquisa","80","79","390","66.81","0.22","https://www.zendesk.com.br/support/compare/","0.00","0.00","0.28","3630000","0.66,0.66,0.66,0.54,0.44,1.00,0.54,0.36,0.81,0.66,0.54,0.54","1511903216"
"talk em portugues","77","83","260","78.07","0.00","https://www.zendesk.com.br/talk/","0.00","0.00","0.01","9310000","0.29,0.15,0.67,0.15,1.00,1.00,0.24,0.54,0.36,0.36,0.54,0.36","1513396261"
"inovador significado","18","26","170","77.11","0.00","https://www.zendesk.com.br/product/innovative-customer-service/","0.00","0.00","0.00","1120000","1.00,0.55,0.03,0.55,0.12,0.36,0.82,0.19,0.12,0.12,0.19,0.44","1513345168"
"significado inovador","25","27","90","77.25","0.00","https://www.zendesk.com.br/product/innovative-customer-service/","0.00","0.00","0.00","468000","0.22,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,0.22,0.56","1511252219"
"gourpon","59","25","170","90.27","0.22","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.11","55900000","0.81,0.52,1.00,0.81,0.81,0.67,0.81,0.67,0.81,0.67,0.81,1.00","1511903617"
"chat o que é","40","31","90","82.15","0.00","https://www.zendesk.com.br/chat/","0.00","0.00","0.00","10600000","1.00,0.10,0.03,0.10,0.12,0.06,0.01,0.06,0.12,0.03,0.02,0.06","1510535741"
"mensagens tempo","88","0","140","85.34","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.02","22200000","0.65,0.82,1.00,1.00,0.82,0.82,0.82,0.65,0.82,0.82,0.65,0.82","1513377874"
"www aplicativos","96","0","70","54.56","0.91","https://www.zendesk.com.br/apps/","0.00","0.00","0.15","2120000","0.29,1.00,0.43,1.00,0.14,0.57,0.14,0.57,0.29,0.29,0.29,1.00","1511200033"
"ttivago","16","20","170","75.34","0.22","https://www.zendesk.com.br/customer/trivago/","0.00","0.00","0.24","0","0.55,0.55,0.12,0.55,0.19,0.36,0.44,0.19,0.12,0.12,1.00,0.12","1513352788"
"itil service desk","13","0","50","51.88","18.96","https://www.zendesk.com.br/support/details/itil-help-desk/","0.00","0.00","0.71","562000","0.71,0.71,0.57,1.00,1.00,0.57,0.43,0.57,1.00,0.71,1.00,0.71","1512606331"
"tipos de preco","63","58","90","67.26","0.00","https://www.zendesk.com.br/product/pricing/","0.00","0.00","0.00","48900000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.11,0.56,0.22,0.56","1513524945"
"widget de tempo","69","0","50","78.99","0.39","https://www.zendesk.com.br/chat/live-chat-customization/","0.00","0.00","0.18","1170000","1.00,0.71,0.71,0.71,0.71,0.43,0.71,0.71,0.71,0.43,0.57,0.57","1512540437"
"chat para celular android","33","34","30","95.08","1.30","https://www.zendesk.com.br/product/mobile/","0.00","0.00","0.69","1770000","0.71,0.57,0.57,0.29,0.14,0.14,1.00,0.29,0.14,0.29,0.29,0.43","1513102339"
"email entrar br","45","37","20","81.06","0.00","https://www.zendesk.com.br/login/","0.00","0.00","0.00","7430000","0.57,0.71,0.71,1.00,0.29,0.29,0.29,0.14,0.14,0.14,0.00,0.00","1511754828"
"mega sistemas curitiba","38","40","70","73.62","0.13","https://www.zendesk.com.br/","0.00","0.00","0.24","387000","0.33,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.33,0.78","1511204189"
"joomla chat","16","8","20","50.06","0.00","https://www.zendesk.com.br/chat/features/joomla-live-chat/","0.00","0.00","0.07","951000","0.67,0.67,0.67,0.67,0.67,0.33,0.33,0.67,1.00,0.33,0.33,0.67","1511705034"
"mensagens de texto","65","78","480","76.87","0.03","https://www.zendesk.com.br/talk/text/","0.00","0.00","0.14","12600000","1.00,1.00,0.81,0.81,0.81,0.66,0.81,0.81,1.00,0.81,0.81,0.81","1513207351"
"face book bem vindo","67","72","50","84.96","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.04","24100000","0.27,0.27,0.64,0.82,0.45,0.36,0.27,1.00,0.45,0.45,0.45,0.18","1512510401"
"sites de chat","73","75","140","61.38","1.10","https://www.zendesk.com.br/chat/features/","0.00","0.00","0.80","180000000","1.00,0.82,0.65,1.00,0.65,0.82,1.00,0.82,0.82,1.00,0.65,0.82","1512405273"
"tudo sobre atendimento","20","19","90","61.39","5.63","https://www.zendesk.com.br/support/","0.00","0.00","0.13","32300000","0.78,0.11,0.56,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78,0.11","1513418982"
"como entrevistar um candidato","55","56","590","68.03","0.00","https://www.zendesk.com.br/recursos/10-perguntas-para-a-contratacao-de-excelentes-representantes-de-atendimento-ao-cliente/","0.00","0.00","0.01","759000","0.24,0.16,0.67,0.16,0.30,1.00,0.19,0.44,0.30,0.30,0.55,1.00","1511684949"
"site de chat gratis","81","77","30","62.94","1.53","https://www.zendesk.com.br/chat/","0.00","0.00","0.92","17300000","0.75,0.75,1.00,1.00,1.00,0.75,0.50,1.00,1.00,0.50,0.50,0.75","1513102339"
"www mensagem facebook com br","85","79","90","90.71","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.27","19100000","1.00,0.67,0.43,0.67,0.33,0.43,0.24,0.24,0.19,0.33,0.19,0.14","1512498417"
"chat web brasil","87","0","70","60.43","0.48","https://www.zendesk.com.br/chat/","0.00","0.00","0.52","9840000","0.12,0.18,0.41,0.41,0.41,1.00,0.29,0.41,0.29,0.65,0.82,0.41","1512499720"
"bem vindo ao feicebok","68","0","90","85.13","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","42400000","0.28,0.12,0.03,0.66,0.53,1.00,0.53,0.06,0.12,0.12,0.12,0.12","1510564526"
"o que é atendimento ao cliente","23","0","390","70.32","1.14","https://www.zendesk.com.br/product/innovative-customer-service/","0.00","0.00","0.26","19400000","0.67,0.81,1.00,1.00,0.81,0.44,0.44,0.44,1.00,0.81,1.00,0.81","1513170675"
"mensagens inbox facebook","34","31","50","88.30","2.44","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.04","348000","0.57,0.29,0.29,0.71,0.71,0.71,0.71,0.71,0.43,0.71,1.00,1.00","1512603127"
"chats para conversar","41","73","40","66.87","0.35","https://www.zendesk.com.br/chat/features/","0.00","0.00","0.69","520000","0.29,0.29,0.43,0.57,0.43,0.71,1.00,0.71,0.71,0.43,0.57,0.29","1509308426"
"software para abertura de chamados","15","11","90","64.83","3.84","https://www.zendesk.com.br/","0.00","0.00","0.91","1540000","0.44,0.11,0.56,0.11,1.00,0.33,0.33,0.78,0.11,0.11,0.11,0.11","1513420818"
"novo correio de voz","68","74","720","77.53","0.00","https://www.zendesk.com.br/talk/voicemail/","0.00","0.00","0.00","480000","0.03,0.04,0.09,0.04,0.02,0.06,1.00,0.13,0.02,0.02,0.11,0.06","1511420122"
"entrar agora","28","22","390","81.27","0.00","https://www.zendesk.com.br/login/","0.00","0.00","0.01","34800000","0.29,0.36,1.00,0.54,0.67,0.82,0.67,0.44,0.36,0.29,0.36,0.29","1513327831"
"o que é correio de voz","82","81","40","83.06","0.00","https://www.zendesk.com.br/talk/voicemail/","0.00","0.00","0.00","3120000","0.57,0.43,0.43,0.43,0.57,0.57,0.57,0.71,0.71,1.00,0.57,1.00","1513085595"
"outlook com 365","85","0","140","63.13","0.94","https://www.zendesk.com.br/outlook/","0.00","0.00","0.04","93600000","0.55,0.30,0.12,0.30,0.16,0.44,0.44,1.00,0.16,0.16,0.24,0.24","1513371380"
"o que e call center","87","70","260","68.22","1.59","https://www.zendesk.com.br/talk/features/virtual-call-center/","0.00","0.00","0.31","156000000","0.81,0.81,0.81,0.81,1.00,0.66,1.00,0.81,1.00,0.81,0.81,0.81","1513174793"
"joomla em português","56","0","390","64.03","1.75","https://www.zendesk.com.br/chat/features/joomla-live-chat/","0.00","0.00","0.32","665000","0.29,0.35,0.81,0.35,1.00,0.23,0.23,1.00,0.67,0.67,0.67,0.67","1513303236"
"chat online","97","89","12100","72.35","0.97","https://www.zendesk.com.br/chat/features/wordpress-live-chat/","0.00","0.00","0.82","9470000","0.55,0.67,0.67,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,0.82","1513514061"
"software logotipo","42","49","20","71.71","0.94","https://www.zendesk.com.br/","0.00","0.00","0.31","7920000","1.00,1.00,0.50,0.50,1.00,0.50,0.50,1.00,1.00,1.00,1.00,1.00","1511769124"
"auto atendimento ao servidor","76","0","210","90.49","0.03","https://www.zendesk.com.br/product/zendesk-security/","0.00","0.00","0.12","2360000","0.81,0.53,0.66,0.44,0.44,0.81,0.53,0.66,1.00,0.81,0.34,0.28","1508903964"
"sistema de gerenciamento do conhecimento","79","0","20","71.16","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.00","0.00","0.48","1550000","0.20,0.20,1.00,0.80,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20","1511389086"
"avaliação atendimento ao cliente","72","61","90","59.23","6.87","https://www.zendesk.com.br/small-business/","0.00","0.00","0.39","1730000","0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44,0.11","1513432633"
"trivago english","39","0","90","73.12","0.00","https://www.zendesk.com.br/customer/trivago/","0.00","0.00","0.14","0","1.00,0.11,0.44,0.11,0.78,0.11,0.78,0.33,0.11,0.11,0.33,0.56","1513521675"
"ivr","63","83","480","37.97","1.79","https://www.zendesk.com.br/talk/ivr-software/","0.00","0.00","0.08","13900000","0.67,0.67,0.67,0.67,0.67,0.54,0.67,0.67,1.00,0.82,0.82,0.82","1511619338"
"animoto video","80","0","70","67.13","0.09","https://www.zendesk.com.br/customer/animoto/","0.00","0.00","0.08","1950000","0.81,1.00,0.24,0.08,0.03,0.05,0.07,0.15,0.08,0.08,0.02,0.15","1511255685"
"chat por telefone celular","25","22","90","82.92","0.00","https://www.zendesk.com.br/chat/","0.00","0.00","0.40","711000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1511247394"
"chat para sites","43","38","70","44.34","1.82","https://www.zendesk.com.br/chat/","0.00","0.00","0.87","149000000","0.78,1.00,0.78,0.78,1.00,0.78,0.78,0.78,1.00,0.78,0.78,0.78","1512467719"
"zendesk ad integration","23","0","70","50.05","0.00","https://www.zendesk.com.br/why-zendesk/customer/support-solutions/","0.00","0.00","0.29","1780000","0.11,0.11,0.44,0.11,1.00,0.11,0.22,0.11,0.11,0.11,0.11,0.78","1511276938"
"groupion","44","39","110","89.56","0.22","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.11","55400000","0.33,0.52,0.81,1.00,0.81,0.43,0.33,0.24,0.33,0.24,0.33,0.33","1512415376"
"chat gratis brasil","27","35","30","70.28","0.61","https://www.zendesk.com.br/chat/","0.00","0.00","0.80","1090000","0.40,0.40,1.00,0.60,0.40,0.60,0.40,0.60,0.80,0.40,0.60,0.60","1513088958"
"animoto account","19","0","90","37.81","0.00","https://www.zendesk.com.br/customer/animoto/","0.00","0.00","0.14","245000","0.20,0.20,0.80,0.20,0.20,1.00,0.40,1.00,0.60,0.20,0.60,1.00","1511131905"
"the warton school","10","11","70","63.73","2.34","https://www.zendesk.com.br/customer/wharton/","0.00","0.00","0.21","5670000","0.14,0.57,0.14,0.14,0.14,1.00,1.00,0.14,0.14,0.14,0.57,0.29","1511193003"
"bem vindo ao facebokk","63","0","320","84.73","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","24300000","0.19,1.00,0.44,1.00,0.67,0.67,0.15,0.36,0.10,0.24,0.36,0.24","1513309163"
"www facebook message","36","26","90","80.53","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","403000000","0.44,0.11,0.11,0.11,1.00,0.33,0.33,0.11,0.11,0.11,0.11,0.11","1513558402"
"vernote","59","0","70","89.42","1.40","https://www.zendesk.com.br/customer/evernote/","0.00","0.00","0.12","174000000","0.64,0.64,0.82,0.64,0.64,0.45,0.82,0.45,1.00,0.64,0.82,0.82","1512493170"
"nexon email","36","0","90","53.69","0.00","https://www.zendesk.com.br/customer/nexon/","0.00","0.00","0.00","2640000","0.11,1.00,0.11,0.11,1.00,0.11,0.22,0.56,0.33,0.33,0.33,0.11","1513592589"
"programa que responde perguntas","90","98","70","90.14","0.00","https://www.zendesk.com.br/guide/features/knowledge-base-software/faq-software/","0.00","0.00","0.00","470000","1.00,0.78,0.33,0.78,0.11,0.11,0.11,0.44,0.78,0.78,0.44,0.22","1511386911"
