	keyword	Position	volume	difficulty	CPC	Competition	Backlinks	Domains	length_title	length_description	length_headline	Size	word_count	text_ratio	Inlinks	Outlinks	external_outlinks	url_score	url_trust	avg_backlink_score	avg_backlink_trust	competitor	type
33	sistema de atendimento online gratis	1	20	52.17	0.0	0.58	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
34	sistem helpdesk	2	70	41.35	0.0	0.0	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
35	sistema helpdesk	2	70	42.5	81.96	0.99	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
36	controle de chamados	3	110	33.07	3.51	0.69	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
37	sistema de atendimento online	3	90	41.83	5.67	0.93	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
42	sistema de help desk free	2	40	64.88	48.94	0.97	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
44	help desk gratuito	2	40	58.28	50.48	0.88	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
46	sistema help desk free	2	40	65.89	44.51	0.95	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
55	sistema help desk gratuito	2	30	62.72	29.81	0.82	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
56	sistema de help desk gratuito	2	30	53.89	0.0	0.96	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
60	atendimento online gratuito	2	20	55.75	1.75	0.37	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
61	help desk gratis	2	20	57.98	51.39	0.92	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
64	sistema ticket	2	20	63.94	0.29	0.21	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
66	sistemas de help desk	2	20	32.2	36.2	0.88	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
90	help desc	3	20	57.84	32.65	0.87	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
623	zendesk	1	5400	72.46	71.86	0.41	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
628	zen desk	1	210	72.89	41.61	0.72	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
630	zendesk login	1	320	47.04	11.4	0.15	0.0	0.0	16.0	0.0	6.0	32223.0	454.0	9.632872	173.0	88.0	28.0	16.0	18.0	85.0	86.0	zendesk	top_ranking
636	sistema de tickets	1	170	42.93	54.94	0.92	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
637	zendesl	1	90	72.03	9.02	0.48	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
638	zendeks	1	90	70.87	7.46	0.51	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
642	zenddesk	1	70	72.74	14.24	0.58	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
643	zendesk free plan	1	90	53.7	0.0	0.86	1.0	1.0	59.0	205.0	72.0	90030.0	2371.0	17.499723	191.0	137.0	29.0	17.0	18.0	85.0	86.0	zendesk	top_ranking
644	zendesk voice pricing	1	90	33.48	36.95	0.19	1.0	1.0	57.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
645	inbound call center software	1	90	24.12	0.0	0.63	1.0	1.0	38.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
646	zendesk account	1	90	53.73	0.0	0.36	2.0	1.0	18.0	0.0	13.0	52151.0	1145.0	14.816589000000002	500.0	35.0	0.0	2.0	3.0	31.272120466490453	32.013206820940425	zendesk	top_ranking
647	zendesk address	1	90	75.72	0.0	0.0	2.0	2.0	34.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	5.0	6.0	85.0	86.0	zendesk	top_ranking
648	it ticketing system software	1	90	51.57	0.0	0.0	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
649	zendesk com pricing	1	90	52.44	0.0	0.0	1.0	1.0	59.0	205.0	72.0	90030.0	2371.0	17.499723	191.0	137.0	29.0	17.0	18.0	85.0	86.0	zendesk	top_ranking
650	zendesk open source	1	90	43.05	5.27	0.78	1.0	1.0	60.0	111.0	40.0	42516.0	1128.0	17.301722	7.0	115.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
651	online ticketing system free	1	90	30.18	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
652	hosted helpdesk	1	90	23.97	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
653	it support ticket system	1	90	51.06	0.0	0.0	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
654	powered by zendesk	1	90	56.04	0.0	0.57	1.0	1.0	58.0	141.0	20.0	42549.0	1110.0	17.241297	217.0	107.0	29.0	8.0	8.0	85.0	86.0	zendesk	top_ranking
655	simple ticketing system	1	90	51.42	0.0	0.0	2085.254464285714	12.008928571428571	36.0	163.0	26.0	40916.0	1029.0	16.73184	5.0	106.0	30.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
656	zendesk com	1	90	76.36	5.89	0.52	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
657	online help desk system	1	90	47.48	0.0	0.0	1.0	1.0	49.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
658	service desk software itil	1	90	31.5	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
659	trouble ticket software	1	70	41.88	0.0	0.71	0.0	0.0	50.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
660	remote help desk	1	70	50.94	0.0	0.91	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
661	ticketing software	1	70	37.11	32.13	0.86	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
662	ticketing system software	1	70	41.43	0.0	1.0	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
663	software ticketing	1	70	39.97	0.0	0.0	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
664	system ticket	1	70	48.83	0.0	0.46	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
665	zendesk help desk	1	70	62.67	0.0	0.86	0.0	0.0	49.0	347.0	85.0	41180.0	1078.0	17.219524	181.0	102.0	27.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
666	zendesk demo	1	70	48.7	0.0	0.61	2.0	2.0	90.0	173.0	0.0	38636.0	569.0	10.187389	386.0	82.0	32.0	14.0	16.0	85.0	86.0	zendesk	top_ranking
667	zendesk compare	1	70	48.37	0.0	0.64	1.0	1.0	74.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	4.0	4.0	85.0	86.0	zendesk	top_ranking
668	zendesk ceo	1	70	68.38	0.0	0.0	1.0	1.0	34.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	5.0	7.0	85.0	86.0	zendesk	top_ranking
669	web based call center	1	70	46.82	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
670	zendesk contact	1	70	46.33	0.0	0.29	2.0	2.0	34.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	5.0	6.0	85.0	86.0	zendesk	top_ranking
671	software ticketing system	1	70	47.7	0.0	0.0	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
672	webwidget	1	70	55.8	0.0	0.0	1.0	1.0	31.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
673	www zendesk com login	1	70	39.1	0.0	0.26	0.0	0.0	16.0	0.0	6.0	32223.0	454.0	9.632872	173.0	88.0	28.0	16.0	18.0	85.0	86.0	zendesk	top_ranking
674	faq software	1	70	46.14	1.98	0.69	1.0	1.0	42.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	1.0	3.0	85.0	86.0	zendesk	top_ranking
675	zendesk pricing plans	1	70	31.9	0.0	0.0	1.0	1.0	59.0	205.0	72.0	90030.0	2371.0	17.499723	191.0	137.0	29.0	17.0	18.0	85.0	86.0	zendesk	top_ranking
676	zendesk sign in	1	70	58.67	0.0	0.0	0.0	0.0	16.0	0.0	6.0	32223.0	454.0	9.632872	173.0	88.0	28.0	16.0	18.0	85.0	86.0	zendesk	top_ranking
680	ticket system	1	50	53.5	183.51	0.87	0.0	0.0	48.0	150.0	70.0	44448.0	1419.0	20.99307	177.0	114.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
684	help desk open source	2	140	42.3	34.41	0.94	1.0	1.0	60.0	111.0	40.0	42516.0	1128.0	17.301722	7.0	115.0	31.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
691	zendesk free plan	2	90	53.7	0.0	0.86	0.0	0.0	44.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	4.0	6.0	85.0	86.0	zendesk	top_ranking
692	software self service portal	2	90	40.16	0.0	0.86	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
693	zendesk account	2	90	53.73	0.0	0.36	0.0	0.0	16.0	0.0	6.0	32223.0	454.0	9.632872	173.0	88.0	28.0	16.0	18.0	85.0	86.0	zendesk	top_ranking
694	desk services	2	90	39.25	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
695	software help desk	2	90	50.23	61.46	0.96	0.0	0.0	49.0	347.0	85.0	41180.0	1078.0	17.219524	181.0	102.0	27.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
696	zendesk com pricing	2	90	52.44	0.0	0.0	1.0	1.0	57.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
697	hosted help desk ticketing system	2	90	39.59	0.0	0.0	1.0	1.0	48.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
698	zendesk open source	2	90	43.05	5.27	0.78	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
699	support ticket system free	2	90	39.23	11.56	0.79	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	1.0	3.0	85.0	86.0	zendesk	top_ranking
700	itil service desk software	2	90	38.05	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
701	online call center software	2	90	40.3	0.0	0.0	1.0	1.0	30.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
702	software customer service	2	90	49.42	0.0	1.0	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
703	self service software portal	2	90	43.54	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
704	online ticketing system free	2	90	30.18	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	1.0	3.0	85.0	86.0	zendesk	top_ranking
705	hosted helpdesk	2	90	23.97	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
706	free ticket support system	2	90	42.21	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	1.0	3.0	85.0	86.0	zendesk	top_ranking
707	customer service management software	2	90	45.09	0.0	1.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
708	help desk ticketing system free	2	90	47.13	0.0	0.86	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
709	zendesk live chat integration	2	90	43.73	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
710	open source zendesk	2	90	52.2	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
711	powered by zendesk	2	90	56.04	0.0	0.57	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
712	it tickets system	2	90	54.34	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
713	virtual call centre	2	90	37.3	0.0	0.0	1.0	1.0	29.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	1.0	3.0	85.0	86.0	zendesk	top_ranking
714	service desk comparison	2	90	49.38	0.0	1.0	1.0	1.0	42.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
715	zendesk com	2	90	76.36	5.89	0.52	0.0	0.0	16.0	0.0	6.0	32223.0	454.0	9.632872	173.0	88.0	28.0	16.0	18.0	85.0	86.0	zendesk	top_ranking
716	online help desk system	2	90	47.48	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
717	service ticket software	2	90	40.98	0.0	0.0	32904.0	117.0	76.0	213.0	24.0	45511.0	628.0	9.265891	543.0	93.0	29.0	50.0	52.0	40.07752189425884	45.54038274408044	zendesk	top_ranking
718	free ticketing system software	2	90	43.98	0.0	0.71	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
719	problem tracking system	2	90	59.59	0.0	0.0	2085.254464285714	12.008928571428571	35.0	310.0	32.0	40773.0	877.0	14.443381	6.0	107.0	30.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
722	free ticketing system	2	70	44.86	6.74	0.58	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	1.0	3.0	85.0	86.0	zendesk	top_ranking
723	trouble ticket software	2	70	41.88	0.0	0.71	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
724	chat software free	2	70	39.3	5.47	0.64	1.0	1.0	28.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
726	zendesk box	2	70	44.83	0.0	0.0	0.0	0.0	36.0	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	1.0	3.0	85.0	86.0	zendesk	top_ranking
729	zendesk self hosted	2	70	51.26	0.0	0.57	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	zendesk	top_ranking
