	keyword	Position	volume	difficulty	CPC	Url	Competition	title	Backlinks	Domains	length_title	length_description	length_headline	Size	word_count	text_ratio	Inlinks	Outlinks	external_outlinks	url_score	url_trust	avg_backlink_score	avg_backlink_trust	competitor	type
373	melhorar atendimento ao cliente	4	90	64.27	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.3				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
401	qualidade de atendimento ao cliente	7	140	51.59	3.03	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.13				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
402	o que é help	8	170	62.7	0.0	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.03				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
403	dicas para bom atendimento ao cliente	5	90	60.24	2.18	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.19				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	first_page
404	qual a importancia do atendimento ao cliente	5	90	54.03	0.84	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.25				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	first_page
405	qualidade atendimento	7	110	57.68	0.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.04				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
406	importancia atendimento ao cliente	11	90	54.35	0.0	http://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.25																	octadesk	second_page
407	sistema de controle de chamados	5	90	39.79	3.84	https://blog.octadesk.com/planilha-de-controle-de-chamados/	0.9																	octadesk	first_page
408	service desk logo	6	90	39.86	0.0	https://www.octadesk.com/	0.17	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
433	profissional de atendimento ao cliente	4	70	52.01	0.94	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.23				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	first_page
434	service desk ou help desk	5	90	48.25	8.79	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.46				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
435	service desk help	4	70	47.39	0.0	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.29				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
437	a qualidade no atendimento ao cliente em uma empresa	11	90	57.64	0.55	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.33				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
438	sistem helpdesk	4	70	41.35	0.0	https://www.octadesk.com/	0.0	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
463	processo de atendimento ao cliente fluxograma	6	90	68.55	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.23				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
464	excelencia no atendimento	16	880	69.7	1.3	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.21				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
465	sistema de help desk	7	110	28.81	139.54	https://www.octadesk.com/	0.99	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
490	controle de chamados free	11	90	57.77	21.08	https://blog.octadesk.com/planilha-de-controle-de-chamados/	0.82																	octadesk	second_page
491	dicas de bom atendimento	5	90	62.08	1.72	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.02				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	first_page
492	como fazer uma reclamação no reclame aqui	11	70	74.61	0.16	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.03																	octadesk	second_page
493	dicas para um bom atendimento ao cliente	7	90	62.34	1.27	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.16				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	first_page
494	sistema help desk	8	110	37.47	69.48	https://www.octadesk.com/	0.99	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
519	qualidade ao atendimento ao cliente	7	90	55.12	2.24	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.25				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
520	tag chat site	11	70	49.24	0.0	https://blog.octadesk.com/tag/chat-para-site/	0.0																	octadesk	second_page
521	o que e outubro rosa	9	110	60.36	0.0	https://blog.octadesk.com/outubro-rosa/	0.0																	octadesk	first_page
522	helpdesck	10	110	48.11	84.04	https://www.octadesk.com/	0.63	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
547	importancia do atendimento ao cliente	11	70	52.03	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.01				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
548	qualidade atendimento ao cliente	6	70	54.7	0.74	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.28				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
549	perfil de um bom profissional	9	110	65.17	1.14	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.02				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	first_page
550	rodrigo ricco	18	1300	81.19	0.0	https://blog.octadesk.com/epoca-negocios-rodrigo-ricco/	0.0				58.0	148.0	8.0	55996.0	483.0	5.6271877	28.0	55.0	6.0					octadesk	second_page
551	sistema de help desk	8	110	28.81	139.54	https://www.octadesk.com/help-desk	0.99	Conheça o Octadesk - Sistema de Help Desk	0.0	0.0	41.0	69.0	83.0	44636.0	691.0	10.377274	113.0	3.0	5.0					octadesk	first_page
552	sistema de help desk	9	110	28.81	139.54	https://www.octadesk.com/funcionalidades/atendimento-ao-cliente	0.99				85.0	120.0	55.0	33328.0	463.0	9.466515	249.0	2.0	5.0					octadesk	first_page
553	banner outubro rosa	13	390	57.77	1.85	https://blog.octadesk.com/outubro-rosa/	0.03																	octadesk	second_page
555	a importancia do atendimento ao cliente	10	90	56.43	1.95	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.03				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	first_page
556	planilha de dados cadastrais de clientes	10	70	62.36	0.03	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.4																	octadesk	first_page
557	qualidade do atendimento	6	50	58.16	2.5	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.05				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
558	sevice desk	9	70	55.71	0.0	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.61				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
559	atendimento help desk	5	40	59.95	27.57	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.94				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
560	help desk sistema	7	70	42.09	8.4	https://www.octadesk.com/	0.95	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
585	qualidade em atendimento	9	70	55.81	0.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.06				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
586	qualidade em atendimento	10	70	55.81	0.0	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	0.06				57.0	153.0	8.0	75319.0	1947.0	16.345144	20.0	61.0	5.0					octadesk	first_page
587	como atender um cliente com qualidade	5	40	67.23	0.58	http://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	0.21																	octadesk	first_page
588	heldesk	5	50	55.04	0.0	https://www.octadesk.com/	0.85	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
613	o que help desk	4	30	67.62	0.0	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.63				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
614	história do atendimento ao cliente	8	90	61.83	0.03	https://blog.octadesk.com/historia-de-terror-de-atendimento-ao-cliente-verdadeira-parte-1/	0.24																	octadesk	first_page
615	sistema de helpdesk	8	70	37.84	89.65	https://www.octadesk.com/	0.99	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
640	sistema de helpdesk	9	70	37.84	89.65	https://www.octadesk.com/funcionalidades/atendimento-ao-cliente	0.99				85.0	120.0	55.0	33328.0	463.0	9.466515	249.0	2.0	5.0					octadesk	first_page
641	gestão de atendimento ao publico	7	70	63.61	1.98	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.4				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
642	dicas de atendimento ao cliente	15	480	64.98	1.3	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.16				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	second_page
643	bom atendimento ao cliente	15	590	59.57	2.11	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	0.07				59.0	125.0	8.0	71803.0	1765.0	16.12189	10.0	70.0	5.0					octadesk	second_page
644	service desck	6	50	55.47	27.76	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.74				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
645	chat on site	9	90	52.02	0.0	https://www.octadesk.com/chat-para-site	0.6																	octadesk	first_page
646	como fazer um atendimento com qualidade	8	90	57.93	0.91	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	0.24				57.0	153.0	8.0	75319.0	1947.0	16.345144	20.0	61.0	5.0					octadesk	first_page
647	outubro rosa no mundo	9	90	61.93	3.22	https://blog.octadesk.com/outubro-rosa/	0.1																	octadesk	first_page
648	gestão de atendimento	8	70	52.06	2.99	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.5				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
649	padrão de atendimento ao cliente	4	30	48.95	2.96	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.15				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
650	chat por telefone	16	260	71.4	0.09	https://blog.octadesk.com/chat-telefone-octadesk-novos-canais-de-atendimento/	0.53																	octadesk	second_page
651	um bom atendimento	12	110	63.56	0.26	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.08				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	second_page
652	help desk online	10	50	45.34	40.11	https://www.octadesk.com/	0.88	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
677	treinamento qualidade no atendimento	12	90	44.61	4.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.2				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
678	helpdek	11	30	53.48	0.0	https://www.octadesk.com/	0.6	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
703	o que é helpdesk	10	40	70.75	0.0	http://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.29																	octadesk	first_page
704	on site chat	12	90	46.31	0.0	https://www.octadesk.com/chat-para-site	0.0																	octadesk	second_page
705	o que é o reclame aqui	11	40	78.41	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.0																	octadesk	second_page
706	sistema sucesso	10	260	63.01	2.02	https://www.octadesk.com/casos-de-sucesso/sistema-de-atendimento	0.08				68.0	120.0	68.0	30581.0	973.0	21.284457999999997	223.0	9.0	5.0					octadesk	first_page
707	qualidade em atendimento ao cliente	9	50	56.79	2.08	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.09				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
708	o que é atendimento	18	390	73.91	22.51	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.06				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	second_page
709	dicas atendimento ao cliente	10	40	64.13	0.0	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.09				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	first_page
710	procedimento de atendimento ao cliente	7	30	54.05	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.09				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
711	qualidade do atendimento ao cliente	9	40	50.2	0.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.04				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
712	help disk	6	20	56.1	0.0	https://www.octadesk.com/	0.63	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
737	excelencia em atendimento	14	170	69.06	0.78	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.09				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
738	fluxograma atendimento ao cliente	9	50	57.55	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.01				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
739	nosso chat	7	30	60.84	0.0	https://www.octadesk.com/chat-para-site	0.38																	octadesk	first_page
740	helpdesc	6	20	51.21	0.0	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.69				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
741	chat para site	17	260	55.61	1.53	https://www.octadesk.com/chat-para-site	0.84																	octadesk	second_page
742	excelência em atendimento	12	90	73.27	0.81	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.17				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
743	qualidade de atendimento	15	210	57.98	3.29	http://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	0.09																	octadesk	second_page
744	relp desk	6	30	54.63	52.59	https://www.octadesk.com/	0.9	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
769	atende simples	5	110	69.18	1.89	https://blog.octadesk.com/integracao-atende-simples-octadesk/	0.02																	octadesk	first_page
770	help desc	6	20	57.84	32.65	https://www.octadesk.com/	0.87	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	first_page
795	atendimento de qualidade	14	210	51.27	4.3	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.16				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
796	atendimento de qualidade	13	210	51.27	4.3	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	0.16				57.0	153.0	8.0	75319.0	1947.0	16.345144	20.0	61.0	5.0					octadesk	second_page
797	site de chat	25	720	55.73	0.68	https://www.octadesk.com/chat-para-site	0.54																	octadesk	second_page
798	o que é um check list	55	40	72.26	0.0	http://blog.octadesk.com/checklist-de-atendimento-helpdesk/	0.0																	octadesk	second_page
799	videos sobre atendimento ao cliente	58	50	83.17	0.0	https://www.octadesk.com/atendimento-ao-cliente	0.09				54.0	83.0	57.0	50365.0	1096.0	14.643105499999999	114.0	26.0	5.0					octadesk	second_page
800	qual a importancia de um bom atendimento	22	90	55.64	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.06				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
801	bom atendimento online	9	30	60.88	0.0	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	0.07				68.0	150.0	8.0	73471.0	1974.0	17.695417000000003	31.0	62.0	5.0					octadesk	first_page
802	planilha de cadastro de clientes excel	38	210	63.75	2.6	http://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.36																	octadesk	second_page
803	obrigado cliente	77	320	72.26	0.0	https://blog.octadesk.com/o-atendimento-ao-cliente-no-brasil-nao-vai-bem-obrigado/	0.03																	octadesk	second_page
804	chat helpdesk	26	70	41.67	0.22	https://www.octadesk.com/	0.52	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
829	reclamação reclame aqui	24	20	79.31	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.01																	octadesk	second_page
830	atendimento online para site gratuito	43	90	49.33	0.0	https://blog.octadesk.com/sebrae-oferece-curso-gratuito-sobre-atendimento-ao-cliente/	0.79																	octadesk	second_page
831	atendimento online gratuito	73	20	55.75	1.75	https://blog.octadesk.com/sebrae-oferece-curso-gratuito-sobre-atendimento-ao-cliente/	0.37																	octadesk	second_page
832	reclamiaqui	49	210	75.05	0.22	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.01																	octadesk	second_page
833	vagas de atendimento ao cliente	82	90	82.98	0.61	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.39				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	second_page
834	ra reclame aqui	38	70	97.9	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.0																	octadesk	second_page
835	modelo cadastro clientes excel	75	40	74.72	1.27	http://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.3																	octadesk	second_page
836	gestao por processos	43	320	58.69	3.16	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.5				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
837	define cultura	52	260	81.75	2.05	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	0.0				50.0	147.0	8.0	89076.0	3262.0	23.133055	33.0	63.0	20.0					octadesk	second_page
838	o que faz um help desk	16	40	71.02	5.4	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.44				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	second_page
839	baixar planilha de cadastro de clientes gratis	32	90	76.62	0.55	http://content.octadesk.com/lp-planilha-cadastro-de-clientes	0.59																	octadesk	second_page
840	mensagens maliciosas	89	90	80.28	0.0	https://blog.octadesk.com/anti-spam-no-octadesk/	0.02																	octadesk	second_page
841	chat de telefone	17	70	72.43	0.39	https://blog.octadesk.com/chat-telefone-octadesk-novos-canais-de-atendimento/	0.48																	octadesk	second_page
842	defina cultura organizacional	58	70	77.55	2.44	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	0.0				50.0	147.0	8.0	89076.0	3262.0	23.133055	33.0	63.0	20.0					octadesk	second_page
843	atendimento por excelencia	17	90	66.42	0.61	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.12				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
844	sistema de atendimento ao consumidor	11	20	61.09	1.66	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	0.63				68.0	150.0	8.0	73471.0	1974.0	17.695417000000003	31.0	62.0	5.0					octadesk	second_page
845	planilha excel controle de clientes	48	20	76.04	0.0	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.34																	octadesk	second_page
846	melhorias de processos	47	70	48.95	2.93	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.18				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
847	reclame aqiu	35	90	75.77	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.01																	octadesk	second_page
848	operador de sac	34	70	73.36	0.03	https://blog.octadesk.com/4-dicas-para-se-tornar-o-melhor-atendente-de-sac-da-sua-empresa/	0.09																	octadesk	second_page
849	reclame qui	62	480	73.49	0.26	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.03																	octadesk	second_page
850	pesquisa de qualidade no atendimento ao cliente	14	90	65.84	0.0	http://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.4																	octadesk	second_page
851	lista de verificação qualidade	94	390	56.18	0.0	https://blog.octadesk.com/checklist-de-atendimento-helpdesk/	0.0																	octadesk	second_page
852	como ser um bom profissional	91	880	66.14	0.03	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.06				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	second_page
853	ele é o bom é o bom é o bom	45	590	92.9	0.0	https://blog.octadesk.com/bom-atendimento-valorizacao-produto/	0.0				55.0	156.0	8.0	66345.0	1488.0	14.218101999999998	10.0	58.0	6.0					octadesk	second_page
854	help desk gratis	27	20	57.98	51.39	https://www.octadesk.com/	0.92	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
879	cursos 24 horas reclame aqui	35	110	71.62	0.39	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.2																	octadesk	second_page
880	construtora plano e plano	49	320	71.97	0.61	https://www.octadesk.com/planos/sistema-de-chamados	0.29																	octadesk	second_page
881	depois de octa vem o que	81	90	71.33	0.0	https://blog.octadesk.com/	0.0				67.0	49.0	8.0	65032.0	933.0	8.955591	330.0	75.0	5.0					octadesk	second_page
882	características da gestão de pessoas	43	90	74.5	6.77	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	0.14				63.0	150.0	8.0	72486.0	2054.0	18.039345	41.0	63.0	5.0					octadesk	second_page
