	keyword	Position	volume	Competition	Url	Inlinks
437	a qualidade no atendimento ao cliente em uma empresa	11	90	0.33	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
463	processo de atendimento ao cliente fluxograma	6	90	0.23	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
464	excelencia no atendimento	16	880	0.21	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
491	dicas de bom atendimento	5	90	0.02	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
493	dicas para um bom atendimento ao cliente	7	90	0.16	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
519	qualidade ao atendimento ao cliente	7	90	0.25	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
547	importancia do atendimento ao cliente	11	70	0.01	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
548	qualidade atendimento ao cliente	6	70	0.28	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
549	perfil de um bom profissional	9	110	0.02	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
550	rodrigo ricco	18	1300	0.0	https://blog.octadesk.com/epoca-negocios-rodrigo-ricco/	28.0
551	sistema de help desk	8	110	0.99	https://www.octadesk.com/help-desk	113.0
555	a importancia do atendimento ao cliente	10	90	0.03	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
557	qualidade do atendimento	6	50	0.05	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
558	sevice desk	9	70	0.61	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
559	atendimento help desk	5	40	0.94	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
585	qualidade em atendimento	9	70	0.06	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
586	qualidade em atendimento	10	70	0.06	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
613	o que help desk	4	30	0.63	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
641	gestão de atendimento ao publico	7	70	0.4	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
642	dicas de atendimento ao cliente	15	480	0.16	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
643	bom atendimento ao cliente	15	590	0.07	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
644	service desck	6	50	0.74	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
646	como fazer um atendimento com qualidade	8	90	0.24	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
648	gestão de atendimento	8	70	0.5	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
649	padrão de atendimento ao cliente	4	30	0.15	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
651	um bom atendimento	12	110	0.08	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
677	treinamento qualidade no atendimento	12	90	0.2	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
707	qualidade em atendimento ao cliente	9	50	0.09	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
708	o que é atendimento	18	390	0.06	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
709	dicas atendimento ao cliente	10	40	0.09	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
710	procedimento de atendimento ao cliente	7	30	0.09	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
711	qualidade do atendimento ao cliente	9	40	0.04	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
737	excelencia em atendimento	14	170	0.09	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
738	fluxograma atendimento ao cliente	9	50	0.01	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
740	helpdesc	6	20	0.69	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
742	excelência em atendimento	12	90	0.17	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
795	atendimento de qualidade	14	210	0.16	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
796	atendimento de qualidade	13	210	0.16	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
799	videos sobre atendimento ao cliente	58	50	0.09	https://www.octadesk.com/atendimento-ao-cliente	114.0
800	qual a importancia de um bom atendimento	22	90	0.06	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
801	bom atendimento online	9	30	0.07	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
833	vagas de atendimento ao cliente	82	90	0.39	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
836	gestao por processos	43	320	0.5	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
837	define cultura	52	260	0.0	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
838	o que faz um help desk	16	40	0.44	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
842	defina cultura organizacional	58	70	0.0	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
843	atendimento por excelencia	17	90	0.12	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
844	sistema de atendimento ao consumidor	11	20	0.63	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
846	melhorias de processos	47	70	0.18	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
852	como ser um bom profissional	91	880	0.06	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
853	ele é o bom é o bom é o bom	45	590	0.0	https://blog.octadesk.com/bom-atendimento-valorizacao-produto/	10.0
882	características da gestão de pessoas	43	90	0.14	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
883	simulação de atendimento ao cliente	56	20	0.11	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
884	software cliente	97	30	0.19	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
886	mau atendimento ou mal atendimento	21	140	0.0	https://blog.octadesk.com/mau-atendimento-excelente-produto/	14.0
912	tipos de abordagem ao cliente	79	90	0.1	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
913	pop atendimento ao cliente	19	90	0.24	https://blog.octadesk.com/o-sac-nunca-foi-tao-pop/	132.0
914	sinonimo de suporte	81	260	0.0	https://blog.octadesk.com/saiba-porque-sua-equipe-de-atendimento-nao-atende-bem/	21.0
917	atendimento ao cliente treinamento	24	30	0.24	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
918	atendimento a empresas	71	20	0.08	https://blog.octadesk.com/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	25.0
920	chat online para sites	56	30	0.95	https://blog.octadesk.com/chat-octadesk-canal-de-atendimento-online/	9.0
921	sla service desk	82	70	0.62	https://www.octadesk.com/help-desk	113.0
924	central de relacionamento claro	69	480	0.24	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	9.0
925	treinamento de atendimento ao cliente	41	390	0.38	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
926	sebrae faça e aconteça	93	30	0.06	https://blog.octadesk.com/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	25.0
927	hierarquia de processos	85	390	0.03	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
928	abordagem ao cliente	62	170	0.13	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
929	excelência em atendimento ao cliente	22	70	0.43	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
930	principais qualidades de um profissional	36	90	0.05	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
933	perguntas de atendimento ao cliente	19	70	0.33	https://blog.octadesk.com/13-maneiras-rapidas-para-verificar-se-sua-empresa-tem-um-problema-de-atendimento-ao-cliente/	1.0
965	o que é diferença	72	880	0.0	https://blog.octadesk.com/diferenca-omnichannel-multichannel/	39.0
967	principais processos de uma empresa	83	90	0.12	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
969	fidelizando clientes	95	70	0.31	https://blog.octadesk.com/fidelizacao-de-clientes-balde-furado/	12.0
971	retenção e fidelização de clientes	64	70	0.16	https://blog.octadesk.com/fidelizacao-de-clientes-balde-furado/	12.0
972	plano de garantia da qualidade	66	90	0.02	https://blog.octadesk.com/metodologia-qualidade-no-atendimento-ao-cliente/	17.0
1000	atendimento american express	77	170	0.03	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
1001	texto sobre atendimento ao cliente	32	50	0.37	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1005	atendimento diferenciado ao cliente	43	40	0.05	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1006	atendimento netflix	23	320	0.05	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1007	o que gestão de pessoas	91	110	0.66	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1008	e commerce news	83	480	0.17	https://blog.octadesk.com/e-commerce-news/	19.0
1009	planilha controle clientes	45	20	0.44	https://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/	8.0
1013	qualidades de um profissional	92	260	0.03	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1040	o que é gestão por processo	46	20	0.22	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1042	www endi com ultima hora	79	70	0.0	https://blog.octadesk.com/vendas-dia-dos-namorados-ig/	5.0
1043	relacionamento com o cliente	48	880	0.37	https://blog.octadesk.com/erros-comuns-relacionamento-com-o-cliente/	31.0
1070	dicas de melhorias para empresa	61	90	0.05	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1071	procedimento para atendimento ao cliente	17	70	0.28	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1072	relação entre empresa e cliente	27	90	0.03	https://blog.octadesk.com/relacao-sac-consumidor-melhorado/	131.0
1075	imagens atendimento ao cliente	87	30	0.0	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
1078	tipos de atendimento ao cliente	49	110	0.06	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1081	caracteristicas de uma boa pessoa	83	90	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1086	atendimento e qualidade	15	90	0.04	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
1087	qualidade das pessoas	35	110	0.05	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1088	excelencia no atendimento ao cliente	21	110	0.3	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1089	atende bem	66	880	0.23	https://blog.octadesk.com/saiba-porque-sua-equipe-de-atendimento-nao-atende-bem/	21.0
1090	o que faz uma promoter	87	90	0.0	https://blog.octadesk.com/porque-usar-nps/	128.0
1092	modelo de gestão de processos	23	90	0.49	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1095	video atendimento ao cliente	26	140	0.03	https://www.octadesk.com/atendimento-ao-cliente	114.0
1096	gestão de processos e qualidade	81	20	0.65	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1097	fidelização de clientes conceito	72	70	0.24	https://blog.octadesk.com/o-que-e-customer-centric/	43.0
1098	o que é um bom atendimento	15	110	0.17	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1101	sistema ser	54	260	0.1	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
1104	esselencia	79	140	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1106	frases cliente satisfeito	71	90	0.02	https://blog.octadesk.com/atendimento-ao-cliente-como-se-destacar-da-concorrencia/	4.0
1107	qualidade no atendimento a clientes	8	20	0.05	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1112	dicas de arquitetos	41	30	0.12	https://blog.octadesk.com/atendimento-ao-cliente-para-arquitetos/	38.0
1114	planilha de prioridades	61	90	0.11	https://blog.octadesk.com/porque-nao-usar-planilha-de-atendimento/	11.0
1115	um bom atendimento ao cliente	14	90	0.2	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
1116	um bom atendimento ao cliente	13	90	0.2	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1118	helpdek	12	30	0.6	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1119	como criar processos em uma empresa	39	90	0.35	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1121	dicas relacionamento	86	480	0.19	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
1122	principios do bom atendimento	23	70	0.0	https://blog.octadesk.com/nocoes-de-atendimento-equipe/	19.0
1124	qualidades de uma pessoa boa	84	260	0.01	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1129	gestão em processos	82	20	0.86	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1132	excelência no atendimento ao cliente	31	720	0.4	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1133	um bom atendimento ao publico	74	90	0.1	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1134	tudo sobre atendimento ao cliente	34	70	0.43	https://blog.octadesk.com/atendimento-ao-cliente-para-arquitetos/	38.0
1136	atividades sobre atendimento ao cliente	34	90	0.04	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	9.0
1137	gestão por processos	60	1600	0.58	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1138	help desk ti	12	30	0.93	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1140	contrario de empatia	32	90	0.0	https://blog.octadesk.com/empatia-melhora-o-mundo-e-faz-sua-empresa-crescer/	5.0
1141	como atender o cliente	78	70	0.17	https://blog.octadesk.com/nocoes-de-atendimento-equipe/	19.0
1142	melhor blog	66	320	0.0	http://blog.octadesk.com/	13.0
1143	o chamados	37	260	0.01	https://www.octadesk.com/sistema-de-chamados	13.0
1144	sistema service desk	9	20	0.89	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1173	o bom atendimento ao cliente	12	30	0.11	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1202	caracteristica de um bom profissional	19	30	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1204	omnichannel o que é	28	140	0.23	https://blog.octadesk.com/diferenca-omnichannel-multichannel/	39.0
1230	atendimento de excelência	16	110	0.09	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1231	processos na empresa	36	70	0.42	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1232	processo de uma empresa	59	40	0.13	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1236	valor do bom	51	90	0.01	https://blog.octadesk.com/bom-atendimento-valorizacao-produto/	10.0
1237	videos atendimento ao cliente	41	50	0.05	https://www.octadesk.com/atendimento-ao-cliente	114.0
1239	figuras de atendimento ao cliente	58	70	0.33	https://www.octadesk.com/atendimento-ao-cliente	114.0
1240	o que é gestão de processo	46	30	0.52	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1242	atendimento online netflix	25	70	0.06	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1271	como melhorar a qualidade	53	90	0.01	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
1272	caracteristicas de gestão de pessoas	84	70	0.23	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1274	qualidade de pessoas	23	140	0.14	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1275	mau atendimento	51	720	0.07	https://blog.octadesk.com/mau-atendimento-excelente-produto/	14.0
1279	a importancia da qualidade no atendimento	64	70	0.14	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1281	atendimento online para sites	47	20	0.96	https://blog.octadesk.com/chat-octadesk-canal-de-atendimento-online/	9.0
1283	mal atendimento ao cliente	34	40	0.03	https://blog.octadesk.com/mau-atendimento-excelente-produto/	14.0
1284	hierarquia dos processos	83	90	0.08	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1310	atendimento eficaz ao cliente	69	50	0.22	https://blog.octadesk.com/atendimento-ao-cliente-como-se-destacar-da-concorrencia/	4.0
1311	o que é gestão por processos	37	140	0.28	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1338	a qualidade no atendimento ao cliente	10	20	0.13	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1340	qualidades de um bom profissional	29	390	0.01	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1344	atendimento ao cliente interno	91	70	0.11	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1345	qualidade de um bom profissional	20	70	0.04	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1371	produto de qualidade	71	90	0.15	https://blog.octadesk.com/mau-atendimento-excelente-produto/	14.0
1373	atendimento ao cliente netflix	32	110	0.1	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1375	novo mundo sac	68	40	0.05	https://blog.octadesk.com/epoca-negocios-rodrigo-ricco/	28.0
1376	processos de gestao de pessoas	83	50	0.33	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1379	qualidades de uma pessoa profissional	88	90	0.01	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1380	planilhas de tarefas	85	90	0.23	https://blog.octadesk.com/porque-nao-usar-planilha-de-atendimento/	11.0
1381	o que significa gestao de pessoas	86	30	0.5	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1382	quais são os tipos de atendimento ao cliente	25	90	0.3	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1383	oque e cultura	87	1300	0.06	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1384	gestão por processo	96	140	0.32	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1388	dicas para atendimento ao cliente	12	30	0.16	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1391	como fidelizar seu cliente	78	70	0.39	https://blog.octadesk.com/dicas-de-como-fidelizar-clientes/	15.0
1393	nps net promoter score	52	70	0.21	https://blog.octadesk.com/porque-usar-nps/	128.0
1449	oque e cutura	99	90	0.01	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1450	central relacionamento claro	67	70	0.29	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	9.0
1503	plano e plano relacionamento	59	390	0.03	https://blog.octadesk.com/erros-comuns-relacionamento-com-o-cliente/	31.0
1504	projeto de atendimento ao cliente	22	20	0.12	https://blog.octadesk.com/atendimento-ao-cliente-para-arquitetos/	38.0
1508	desk help	12	30	0.91	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1511	servicedesk	97	1900	0.54	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1512	como fazer um bom atendimento	22	260	0.08	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1513	processos de uma empresa	48	70	0.2	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1517	qualidades de um bom funcionario	73	70	0.03	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1520	a importancia do bom atendimento ao cliente	27	90	0.22	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1521	central de relacionamento claro telefone	93	90	0.17	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	9.0
1522	atendimento com qualidade	14	90	0.13	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1523	atendimento com qualidade	13	90	0.13	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
1525	analista de help desk	44	90	0.61	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1528	vale ressaltar	83	480	0.0	https://blog.octadesk.com/dicas-de-como-fidelizar-clientes/	15.0
1529	script atendimento	53	30	0.07	https://blog.octadesk.com/dicas-de-como-fidelizar-clientes/	15.0
1530	que é cultura	21	110	0.01	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1531	o que é prática	67	50	0.0	https://blog.octadesk.com/customer-success/	3.0
1532	exelencia	87	2400	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1558	modelo de mapeamento de processos	89	70	0.34	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1559	trabalho sobre atendimento ao cliente	74	50	0.26	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1560	gestão de pessoas e do atendimento ao público para concurso	23	90	0.18	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1588	dicas de relacionamento	71	880	0.11	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
1589	hepdesk	15	30	0.77	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1616	rodrigo ricco idade	23	90	0.04	https://blog.octadesk.com/podcast-rodrigo-ricco/	4.0
1620	o que é gestão de pessoas nas empresas	86	30	0.45	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1651	e-commerce news	67	320	0.14	https://blog.octadesk.com/e-commerce-news/	19.0
1653	projeto de pesquisa sobre atendimento ao cliente	35	90	0.36	https://blog.octadesk.com/metodologia-qualidade-no-atendimento-ao-cliente/	17.0
1654	sistema cliente	13	70	0.1	https://www.octadesk.com/atendimento-ao-cliente	114.0
1655	sistema cliente	12	70	0.1	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
1656	avaliação de atendimento ao cliente	68	70	0.23	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1657	o que significa atendimento ao cliente	56	30	0.17	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1659	decepsionar	84	210	0.0	https://blog.octadesk.com/se-voce-decepcionar-o-seu-cliente-vai-perde-lo-sim/	10.0
1686	conceito de atendimento ao cliente	33	90	0.07	https://blog.octadesk.com/nocoes-de-atendimento-equipe/	19.0
1688	caracteristicas de um bom funcionario	27	260	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1690	atendimento online para site	57	70	0.92	https://blog.octadesk.com/chat-octadesk-canal-de-atendimento-online/	9.0
1692	empresas de atendimento ao cliente	18	20	0.52	https://blog.octadesk.com/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	25.0
1696	exemplo de bom atendimento ao cliente	37	70	0.25	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1697	checklist supermercado	97	40	0.03	https://blog.octadesk.com/checklist-agilidade-qualidade-no-atendimento-ao-cliente/	6.0
1701	como fazer um bom atendimento ao cliente	14	140	0.19	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1703	melhora ou melhoria	51	320	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1706	supervisor de atendimento	91	390	0.19	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1708	qualidade no atendimento ao publico	35	90	0.08	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1710	modelo de processos	53	90	0.14	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1715	treinamento para atendimento ao cliente	46	70	0.41	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1716	o que é atendimento ao cliente	35	390	0.26	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1717	caracteristicas de um profissional de sucesso	84	90	0.03	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1718	planilha sac excel	81	30	0.15	https://blog.octadesk.com/porque-nao-usar-planilha-de-atendimento/	11.0
1719	avaliação atendimento ao cliente	62	90	0.39	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
1722	artigos sobre atendimento ao cliente	55	70	0.13	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1725	como atender bem um cliente	92	480	0.11	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
1728	atendimento ao cliente o que é	49	30	0.25	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
1729	qualidade do atendimento ao publico	36	90	0.04	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
1759	sistemas de help desk	18	20	0.88	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1786	boa indole	90	390	0.02	https://blog.octadesk.com/recrutamento-de-pessoas/	23.0
1789	perguntas sobre atendimento ao cliente	64	70	0.33	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1796	trabalho de atendimento ao cliente	97	30	0.24	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
